#,تیم,P,W,D,L,F,A,GD,PTS
1,بایرن مونیخ,34,24,5,5,97,37,60,77
2,بورسیا دورتموند,34,22,3,9,85,52,33,69
3,بایرلورکوزن,34,19,7,8,80,47,33,64
4,لایپزیش,34,17,7,10,72,37,35,58
5,یونیون برلین,34,16,9,9,50,44,6,57
6,فرایبورگ,34,15,10,9,58,46,12,55
7,کلن,34,14,10,10,52,49,3,52
8,ماینتس,34,13,7,14,50,45,5,46
9,هوفنهایم,34,13,7,14,58,60,-2,46
10,مونشن گلادباخ,34,12,9,13,54,61,-7,45
11,فرانکفورت,34,10,12,12,45,49,-4,42
12,وولفسبورگ,34,12,6,16,43,54,-11,42
13,بوخوم,34,12,6,16,38,52,-14,42
14,آگزبورگ,34,10,8,16,39,56,-17,38
15,اشتوتگارت,34,7,12,15,41,59,-18,33
16,هرتابرلین,34,9,6,19,37,71,-34,33
17,آرمنیا بیلفیلد,34,5,13,16,27,53,-26,28
18,گریتر فورث,34,3,9,22,28,82,-54,18
19,اسپانیول,38,8,13,17,52,69,-17,37
20,الچه,38,5,10,23,30,67,-37,25
