#,تیم,P,W,D,L,F,A,GD,PTS
1,رئال مادرید,38,26,8,4,80,31,49,86
2,بارسلونا,38,21,10,7,68,38,30,73
3,اتلتیکومادرید,38,21,8,9,65,43,22,71
4,سویا,38,18,16,4,53,30,23,70
5,رئال بتیس,38,19,8,11,62,40,22,65
6,رئال سوسیداد,38,17,11,10,40,37,3,62
7,ویارئال,38,16,11,11,63,37,26,59
8,اتلتیک بیلبائو,38,14,13,11,43,36,7,55
9,والنسیا,38,11,15,12,48,53,-5,48
10,اوساسونا,38,12,11,15,37,51,-14,47
11,سلتاویگو,38,12,10,16,43,43,0,46
12,رایو وایکانو,38,11,9,18,39,50,-11,42
13,الچه,38,11,9,18,40,52,-12,42
14,اسپانیول,38,10,12,16,40,53,-13,42
15,ختافه,38,8,15,15,33,41,-8,39
16,مایورکا,38,10,9,19,36,63,-27,39
17,کادیز,38,8,15,15,35,51,-16,39
18,گرانادا,38,8,14,16,44,61,-17,38
19,لوانته,38,8,11,19,51,76,-25,35
20,آلاوز,38,8,7,23,31,65,-34,31
